000;Zatím neurčeno
100;Podnikající fyzická osoba tuzemská
101;Fyzická osoba podnikající dle živnostenského zákona
102;Fyzická osoba podnikající dle živnostenského zákona zapsaná v obchodním rejstříku
103;Samostatně hospodařící rolník nezapsaný v obchodním rejstříku
104;Samostatně hospodařící rolník zapsaný v obchodním rejstříku
105;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství
106;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství zapsaná v obchodním rejstříku
107;Zemědělský podnikatel - fyzická osoba
108;Zemědělský podnikatel - fyzická osoba zapsaná v obchodním rejstříku
111;Veřejná obchodní společnost
112;Společnost s ručením omezeným
113;Společnost komanditní
114;Společnost komanditní na akcie
115;Společný podnik
116;Zájmové sdružení
117;Nadace
118;Nadační fond
121;Akciová společnost
131;Svépomocné zemědělské družstvo
141;Obecně prospěšná společnost
145;Společenství vlastníků jednotek
151;Komoditní burza
152;Garanční fond obchodníků s cennými papíry
161;Ústav
201;Zemědělské družstvo
205;Družstvo
211;Družstevní podnik zemědělský
231;Výrobní družstvo
232;Spotřební družstvo
233;Bytové družstvo
234;Jiné družstvo
241;Družstevní podnik (s jedním zakladatelem)
242;Společný podnik (s více zakladateli)
251;Zájmová organizace družstev
261;Společná zájmová organizace družstev
301;Státní podnik
302;Národní podnik
311;Státní banka československá
312;Banka-státní peněžní ústav
313;Česká národní banka
314;Česká konsolidační agentura
321;Rozpočtová organizace
325;Organizační složka státu
326;Stálý rozhodčí soud
331;Příspěvková organizace
332;Státní příspěvková organizace
333;Státní příspěvková organizace ostatní
341;Státní hospodářská organizace řízená okresním úřadem
343;Obecní podnik
351;Československé státní dráhy - státní organizace
352;Státní organizace Správa železnic
353;Rada pro veřejný dohled nad auditem
361;Veřejnoprávní instituce (ČT,ČRo,ČTK)
362;Česká tisková kancelář
381;Fond (ze zákona)
382;Státní fond ze zákona nezapisující se do obchodního rejstříku
391;Zdravotní pojišťovna
392;Všeobecná zdravotní pojišťovna
401;Sdružení mezinárodního obchodu
411;Podnik se zahraniční majetkovou účastí
420;Zahraniční osoba
421;Odštěpný závod zahraniční právnické osoby
422;Organizační složka zahraničního nadačního fondu
423;Organizační složka zahraniční nadace
424;Zahraniční fyzická osoba
425;Odštěpný závod zahraniční fyzické osoby
426;Zastoupení zahraniční banky
431;Banka - akciová společnost
432;Spořitelna
435;Pojišťovna - státní podnik
436;Pojišťovna - akciová společnost
437;Pojišťovna - družstvo
438;Pojišťovna - družstevní podnik
441;Podnik zahraničního obchodu
442;Účelová zahraničně obchodní organizace
501;Odštěpný závod nebo jiná organizační složka podniku zapisující se do obchodního rejstříku
511;Pobočka státního peněžního ústavu
513;Pobočka spořitelny
514;Oblastní závod pojišťovny
521;Samostatná drobná provozovna obecního úřadu
525;Vnitřní organizační jednotka organizační složky státu
531;Oblastní organizační jednotka ČD
532;Účelová organizační jednotka ČD
533;Specializovaná organizační jednotka ČD
534;Jednotka státní drážní -technická inspekce
535;Jednotka sboru ozbrojené ochrany železnic
536;Jednotka drážního správního úřadu
541;Podílový, penzijní fond
601;Vysoká škola (veřejná, státní)
602;Fakulta vysoké školy
603;Jiné pracoviště vysoké školy / fakulty
611;Střední škola
621;Základní škola
625;Školské zařízení
631;Předškolní zařízení
641;Školská právnická osoba
651;Zdravotnické zařízení
661;Veřejná výzkumná instituce
671;Veřejné neziskové ústavní zdravotnické zařízení
701;Sdružení (svaz, spolek, společnost, klub aj.)
702;Pojišťovací spolek
703;Odborová organizace a organizace zaměstnavatelů
704;Zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích
705;Podnik nebo hospodářské zařízení sdružení
706;Spolek
707;Odborová organizace
708;Organizace zaměstnavatelů
711;Politická strana, politické hnutí
715;Podnik nebo hospodářské zařízení politické strany
721;Církve a náboženské společnosti
722;Evidované církevní právnické osoby
723;Svazy církví a náboženských společností
731;Organizační jednotka sdružení
732;Organizační jednotka politické strany, politického hnutí
733;Organizační jednotka odborové organizace a organizace zaměstnavatelů
734;Organizační jednotka zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích
736;Pobočný spolek
741;Stavovská organizace - profesní komora
745;Komora (s výjimkou profesních komor)
751;Zájmové sdružení právnických osob
761;Honební společenstvo
771;Dobrovolný svazek obcí
801;Obec nebo městská část hlavního města Prahy
802;Okresní úřad
804;Kraj a hl.m.Praha
805;Regionální rada regionu soudržnosti
811;Městská část, městský obvod
901;Zastupitelský orgán jiných států
906;Zahraniční spolek
907;Mezinárodní odborová organizace
908;Mezinárodní organizace zaměstnavatelů
911;Zahraniční kulturní, informační středisko, rozhlasová, tisková a televizní agentura
921;Mezinárodní nevládní organizace
922;Organizační jednotka mezinárodní nevládní organizace
931;Evropské hospodářské zájmové sdružení
932;Evropská společnost
933;Evropská družstevní společnost
936;Zahraniční pobočný spolek
937;Pobočná mezinárodní odborová organizace
938;Pobočná mezinárodní organizace zaměstnavatelů
941;Evropské seskupení pro územní spolupráci
950;Subjekt právním řádem výslovně neupravený
951;Mezinárodní vojenská organizace vzniklá na základě mezinárodní smlouvy
952;Konsorcium evropské výzkumné infrastruktury
960;Právnická osoba zřízená zvláštním zákonem zapisovaná do veřejného rejstříku
961;Svěřenský fond
962;Zahraniční svěřenský fond
999;Ostatní
